project,page_title,date,pageviews
be.wikipedia,Дыярэя,2022-06-16,0
be.wikipedia,Дыярэя,2022-06-17,0
be.wikipedia,Дыярэя,2022-06-18,0
be.wikipedia,Дыярэя,2022-06-19,0
be.wikipedia,Дыярэя,2022-06-20,1
be.wikipedia,Дыярэя,2022-06-21,2
be.wikipedia,Дыярэя,2022-06-22,0
be.wikipedia,Дыярэя,2022-06-23,0
be.wikipedia,Дыярэя,2022-06-24,0
be.wikipedia,Дыярэя,2022-06-25,0
be.wikipedia,Дыярэя,2022-06-26,0
be.wikipedia,Дыярэя,2022-06-27,0
be.wikipedia,Дыярэя,2022-06-28,0
be.wikipedia,Дыярэя,2022-06-29,0
be.wikipedia,Дыярэя,2022-06-30,0
be.wikipedia,Дыярэя,2022-07-01,0
be.wikipedia,Дыярэя,2022-07-02,0
be.wikipedia,Дыярэя,2022-07-03,0
be.wikipedia,Дыярэя,2022-07-04,0
be.wikipedia,Дыярэя,2022-07-06,0
be.wikipedia,Дыярэя,2022-07-07,1
be.wikipedia,Дыярэя,2022-07-08,0
be.wikipedia,Дыярэя,2022-07-09,0
be.wikipedia,Дыярэя,2022-07-10,0
be.wikipedia,Дыярэя,2022-07-11,0
be.wikipedia,Дыярэя,2022-07-12,0
be.wikipedia,Дыярэя,2022-07-13,0
be.wikipedia,Дыярэя,2022-07-14,0
be.wikipedia,Дыярэя,2022-07-17,0
be.wikipedia,Дыярэя,2022-07-18,2
be.wikipedia,Дыярэя,2022-07-21,1
be.wikipedia,Дыярэя,2022-07-22,0
be.wikipedia,Дыярэя,2022-07-24,0
be.wikipedia,Дыярэя,2022-07-25,0
be.wikipedia,Дыярэя,2022-07-26,1
be.wikipedia,Дыярэя,2022-07-27,0
be.wikipedia,Дыярэя,2022-07-28,0
be.wikipedia,Дыярэя,2022-07-29,0
be.wikipedia,Дыярэя,2022-07-30,0
be.wikipedia,Дыярэя,2022-07-31,0
be.wikipedia,Дыярэя,2022-08-01,1
be.wikipedia,Дыярэя,2022-08-02,0
be.wikipedia,Дыярэя,2022-08-05,0
be.wikipedia,Дыярэя,2022-08-06,1
be.wikipedia,Дыярэя,2022-08-08,0
be.wikipedia,Дыярэя,2022-08-09,0
be.wikipedia,Дыярэя,2022-08-10,0
be.wikipedia,Дыярэя,2022-08-11,0
be.wikipedia,Дыярэя,2022-08-12,0
be.wikipedia,Дыярэя,2022-08-13,0
be.wikipedia,Дыярэя,2022-08-15,0
be.wikipedia,Дыярэя,2022-08-16,0
be.wikipedia,Дыярэя,2022-08-17,0
be.wikipedia,Дыярэя,2022-08-19,2
be.wikipedia,Дыярэя,2022-08-21,0
be.wikipedia,Дыярэя,2022-08-22,0
be.wikipedia,Дыярэя,2022-08-23,0
be.wikipedia,Дыярэя,2022-08-24,0
be.wikipedia,Дыярэя,2022-08-25,0
be.wikipedia,Дыярэя,2022-08-26,0
be.wikipedia,Дыярэя,2022-08-27,0
be.wikipedia,Дыярэя,2022-08-28,0
be.wikipedia,Дыярэя,2022-08-29,1
be.wikipedia,Дыярэя,2022-08-30,0
be.wikipedia,Дыярэя,2022-08-31,2
be.wikipedia,Дыярэя,2022-09-01,0
be.wikipedia,Дыярэя,2022-09-02,1
be.wikipedia,Дыярэя,2022-09-03,0
be.wikipedia,Дыярэя,2022-09-04,0
be.wikipedia,Дыярэя,2022-09-05,0
be.wikipedia,Дыярэя,2022-09-06,3
be.wikipedia,Дыярэя,2022-09-07,0
be.wikipedia,Дыярэя,2022-09-08,0
be.wikipedia,Дыярэя,2022-09-09,1
be.wikipedia,Дыярэя,2022-09-10,0
be.wikipedia,Дыярэя,2022-09-11,0
be.wikipedia,Дыярэя,2022-09-12,2
be.wikipedia,Дыярэя,2022-09-13,1
be.wikipedia,Дыярэя,2022-09-14,0
be.wikipedia,Дыярэя,2022-09-15,0
be.wikipedia,Дыярэя,2022-09-16,0
be.wikipedia,Дыярэя,2022-09-18,0
be.wikipedia,Дыярэя,2022-09-19,0
be.wikipedia,Дыярэя,2022-09-20,1
be.wikipedia,Дыярэя,2022-09-21,0
be.wikipedia,Дыярэя,2022-09-23,0
be.wikipedia,Дыярэя,2022-09-24,1
be.wikipedia,Дыярэя,2022-09-25,0
be.wikipedia,Дыярэя,2022-09-26,0
be.wikipedia,Дыярэя,2022-09-27,0
be.wikipedia,Дыярэя,2022-09-29,1
be.wikipedia,Дыярэя,2022-09-30,0
be.wikipedia,Дыярэя,2022-10-02,1
be.wikipedia,Дыярэя,2022-10-03,2
be.wikipedia,Дыярэя,2022-10-04,4
be.wikipedia,Дыярэя,2022-10-05,1
be.wikipedia,Дыярэя,2022-10-06,2
be.wikipedia,Дыярэя,2022-10-07,1
be.wikipedia,Дыярэя,2022-10-08,0
be.wikipedia,Дыярэя,2022-10-10,1
be.wikipedia,Дыярэя,2022-10-11,0
be.wikipedia,Дыярэя,2022-10-12,0
be.wikipedia,Дыярэя,2022-10-13,0
be.wikipedia,Дыярэя,2022-10-14,0
be.wikipedia,Дыярэя,2022-10-15,0
be.wikipedia,Дыярэя,2022-10-16,0
be.wikipedia,Дыярэя,2022-10-17,0
be.wikipedia,Дыярэя,2022-10-18,0
be.wikipedia,Дыярэя,2022-10-19,1
be.wikipedia,Дыярэя,2022-10-20,1
be.wikipedia,Дыярэя,2022-10-21,0
be.wikipedia,Дыярэя,2022-10-22,0
be.wikipedia,Дыярэя,2022-10-23,0
be.wikipedia,Дыярэя,2022-10-24,0
be.wikipedia,Дыярэя,2022-10-25,0
be.wikipedia,Дыярэя,2022-10-26,1
be.wikipedia,Дыярэя,2022-10-27,1
be.wikipedia,Дыярэя,2022-10-28,1
be.wikipedia,Дыярэя,2022-10-29,0
be.wikipedia,Дыярэя,2022-10-30,1
be.wikipedia,Дыярэя,2022-10-31,1
be.wikipedia,Дыярэя,2022-11-01,2
be.wikipedia,Дыярэя,2022-11-02,0
be.wikipedia,Дыярэя,2022-11-03,1
be.wikipedia,Дыярэя,2022-11-05,0
be.wikipedia,Дыярэя,2022-11-08,0
be.wikipedia,Дыярэя,2022-11-09,0
be.wikipedia,Дыярэя,2022-11-10,0
be.wikipedia,Дыярэя,2022-11-11,0
be.wikipedia,Дыярэя,2022-11-12,2
be.wikipedia,Дыярэя,2022-11-13,2
be.wikipedia,Дыярэя,2022-11-14,1
be.wikipedia,Дыярэя,2022-11-15,1
be.wikipedia,Дыярэя,2022-11-16,0
be.wikipedia,Дыярэя,2022-11-17,1
be.wikipedia,Дыярэя,2022-11-18,0
be.wikipedia,Дыярэя,2022-11-19,0
be.wikipedia,Дыярэя,2022-11-20,0
be.wikipedia,Дыярэя,2022-11-21,0
be.wikipedia,Дыярэя,2022-11-22,0
be.wikipedia,Дыярэя,2022-11-23,0
be.wikipedia,Дыярэя,2022-11-24,0
be.wikipedia,Дыярэя,2022-11-26,0
be.wikipedia,Дыярэя,2022-11-27,0
be.wikipedia,Дыярэя,2022-11-28,0
be.wikipedia,Дыярэя,2022-11-30,0
be.wikipedia,Дыярэя,2022-12-01,0
be.wikipedia,Дыярэя,2022-12-02,0
be.wikipedia,Дыярэя,2022-12-04,0
be.wikipedia,Дыярэя,2022-12-05,0
be.wikipedia,Дыярэя,2022-12-06,0
be.wikipedia,Дыярэя,2022-12-07,0
be.wikipedia,Дыярэя,2022-12-08,1
be.wikipedia,Дыярэя,2022-12-09,0
be.wikipedia,Дыярэя,2022-12-10,0
be.wikipedia,Дыярэя,2022-12-11,2
be.wikipedia,Дыярэя,2022-12-13,0
be.wikipedia,Дыярэя,2022-12-14,0
be.wikipedia,Дыярэя,2022-12-15,0
be.wikipedia,Дыярэя,2022-12-16,0
be.wikipedia,Дыярэя,2022-12-17,0
be.wikipedia,Дыярэя,2022-12-18,0
be.wikipedia,Дыярэя,2022-12-19,1
be.wikipedia,Дыярэя,2022-12-20,0
be.wikipedia,Дыярэя,2022-12-21,1
be.wikipedia,Дыярэя,2022-12-22,2
be.wikipedia,Дыярэя,2022-12-23,0
be.wikipedia,Дыярэя,2022-12-24,0
be.wikipedia,Дыярэя,2022-12-25,1
be.wikipedia,Дыярэя,2022-12-26,1
be.wikipedia,Дыярэя,2022-12-27,1
be.wikipedia,Дыярэя,2022-12-28,0
be.wikipedia,Дыярэя,2022-12-29,1
be.wikipedia,Дыярэя,2022-12-31,0
be.wikipedia,Ацёк,2022-01-01,1
be.wikipedia,Ацёк,2022-01-03,0
be.wikipedia,Ацёк,2022-01-04,0
be.wikipedia,Ацёк,2022-01-05,1
be.wikipedia,Ацёк,2022-01-06,0
be.wikipedia,Ацёк,2022-01-07,0
be.wikipedia,Ацёк,2022-01-08,1
be.wikipedia,Ацёк,2022-01-09,0
be.wikipedia,Ацёк,2022-01-10,1
be.wikipedia,Ацёк,2022-01-11,0
be.wikipedia,Ацёк,2022-01-12,0
be.wikipedia,Ацёк,2022-01-13,0
be.wikipedia,Ацёк,2022-01-14,0
be.wikipedia,Ацёк,2022-01-16,0
be.wikipedia,Ацёк,2022-01-17,0
be.wikipedia,Ацёк,2022-01-18,0
be.wikipedia,Ацёк,2022-01-19,1
be.wikipedia,Ацёк,2022-01-20,0
be.wikipedia,Ацёк,2022-01-21,1
be.wikipedia,Ацёк,2022-01-22,0
be.wikipedia,Ацёк,2022-01-23,0
be.wikipedia,Ацёк,2022-01-24,0
be.wikipedia,Ацёк,2022-01-25,0
be.wikipedia,Ацёк,2022-01-26,0
be.wikipedia,Ацёк,2022-01-27,0
be.wikipedia,Ацёк,2022-01-28,2
be.wikipedia,Ацёк,2022-01-29,0
be.wikipedia,Ацёк,2022-01-30,0
be.wikipedia,Ацёк,2022-01-31,0
be.wikipedia,Ацёк,2022-02-01,0
be.wikipedia,Ацёк,2022-02-03,0
be.wikipedia,Ацёк,2022-02-04,1
be.wikipedia,Ацёк,2022-02-05,1
be.wikipedia,Ацёк,2022-02-06,1
be.wikipedia,Ацёк,2022-02-07,0
be.wikipedia,Ацёк,2022-02-08,1
be.wikipedia,Ацёк,2022-02-09,0
be.wikipedia,Ацёк,2022-02-10,1
be.wikipedia,Ацёк,2022-02-11,0
be.wikipedia,Ацёк,2022-02-12,0
be.wikipedia,Ацёк,2022-02-13,0
be.wikipedia,Ацёк,2022-02-14,1
be.wikipedia,Ацёк,2022-02-15,2
be.wikipedia,Ацёк,2022-02-16,0
be.wikipedia,Ацёк,2022-02-18,0
be.wikipedia,Ацёк,2022-02-19,0
be.wikipedia,Ацёк,2022-02-20,1
be.wikipedia,Ацёк,2022-02-21,1
be.wikipedia,Ацёк,2022-02-22,0
be.wikipedia,Ацёк,2022-02-23,1
be.wikipedia,Ацёк,2022-02-25,0
be.wikipedia,Ацёк,2022-02-26,0
be.wikipedia,Ацёк,2022-02-27,0
be.wikipedia,Ацёк,2022-02-28,0
be.wikipedia,Ацёк,2022-03-02,1
be.wikipedia,Ацёк,2022-03-03,0
be.wikipedia,Ацёк,2022-03-04,0
be.wikipedia,Ацёк,2022-03-05,0
be.wikipedia,Ацёк,2022-03-06,3
be.wikipedia,Ацёк,2022-03-07,0
be.wikipedia,Ацёк,2022-03-08,0
be.wikipedia,Ацёк,2022-03-09,1
be.wikipedia,Ацёк,2022-03-10,0
be.wikipedia,Ацёк,2022-03-11,0
be.wikipedia,Ацёк,2022-03-12,0
be.wikipedia,Ацёк,2022-03-14,0
be.wikipedia,Ацёк,2022-03-15,0
be.wikipedia,Ацёк,2022-03-17,0
be.wikipedia,Ацёк,2022-03-18,0
be.wikipedia,Ацёк,2022-03-20,0
be.wikipedia,Ацёк,2022-03-21,1
be.wikipedia,Ацёк,2022-03-22,0
be.wikipedia,Ацёк,2022-03-23,0
be.wikipedia,Ацёк,2022-03-24,2
be.wikipedia,Ацёк,2022-03-26,0
be.wikipedia,Ацёк,2022-03-27,0
be.wikipedia,Ацёк,2022-03-28,1
be.wikipedia,Ацёк,2022-03-29,0
be.wikipedia,Ацёк,2022-03-30,0
be.wikipedia,Ацёк,2022-03-31,0
be.wikipedia,Ацёк,2022-04-01,1
be.wikipedia,Ацёк,2022-04-02,0
be.wikipedia,Ацёк,2022-04-04,1
be.wikipedia,Ацёк,2022-04-05,0
be.wikipedia,Ацёк,2022-04-06,0
be.wikipedia,Ацёк,2022-04-07,1
be.wikipedia,Ацёк,2022-04-08,0
be.wikipedia,Ацёк,2022-04-09,0
be.wikipedia,Ацёк,2022-04-10,0
be.wikipedia,Ацёк,2022-04-11,1
be.wikipedia,Ацёк,2022-04-12,0
be.wikipedia,Ацёк,2022-04-14,1
be.wikipedia,Ацёк,2022-04-15,0
be.wikipedia,Ацёк,2022-04-16,0
be.wikipedia,Ацёк,2022-04-17,1
be.wikipedia,Ацёк,2022-04-18,0
be.wikipedia,Ацёк,2022-04-20,1
be.wikipedia,Ацёк,2022-04-21,0
be.wikipedia,Ацёк,2022-04-22,1
be.wikipedia,Ацёк,2022-04-23,0
be.wikipedia,Ацёк,2022-04-24,3
be.wikipedia,Ацёк,2022-04-25,0
be.wikipedia,Ацёк,2022-04-27,2
be.wikipedia,Ацёк,2022-04-29,1
be.wikipedia,Ацёк,2022-04-30,1
be.wikipedia,Ацёк,2022-05-01,0
be.wikipedia,Ацёк,2022-05-03,0
be.wikipedia,Ацёк,2022-05-04,1
be.wikipedia,Ацёк,2022-05-05,2
be.wikipedia,Ацёк,2022-05-07,1
be.wikipedia,Ацёк,2022-05-08,0
be.wikipedia,Ацёк,2022-05-10,1
be.wikipedia,Ацёк,2022-05-11,2
be.wikipedia,Ацёк,2022-05-12,0
be.wikipedia,Ацёк,2022-05-13,0
be.wikipedia,Ацёк,2022-05-14,0
be.wikipedia,Ацёк,2022-05-16,0
be.wikipedia,Ацёк,2022-05-17,0
be.wikipedia,Ацёк,2022-05-18,1
be.wikipedia,Ацёк,2022-05-20,1
be.wikipedia,Ацёк,2022-05-21,0
be.wikipedia,Ацёк,2022-05-22,0
be.wikipedia,Ацёк,2022-05-24,1
be.wikipedia,Ацёк,2022-05-25,0
be.wikipedia,Ацёк,2022-05-26,0
be.wikipedia,Ацёк,2022-05-28,0
be.wikipedia,Ацёк,2022-05-29,0
be.wikipedia,Ацёк,2022-05-31,0
be.wikipedia,Ацёк,2022-06-01,1
be.wikipedia,Ацёк,2022-06-03,1
be.wikipedia,Ацёк,2022-06-06,2
be.wikipedia,Ацёк,2022-06-09,0
be.wikipedia,Ацёк,2022-06-10,1
be.wikipedia,Ацёк,2022-06-11,1
be.wikipedia,Ацёк,2022-06-12,0
be.wikipedia,Ацёк,2022-06-13,0
be.wikipedia,Ацёк,2022-06-14,0
be.wikipedia,Ацёк,2022-06-15,0
be.wikipedia,Ацёк,2022-06-16,0
be.wikipedia,Ацёк,2022-06-17,1
be.wikipedia,Ацёк,2022-06-18,0
be.wikipedia,Ацёк,2022-06-20,4
be.wikipedia,Ацёк,2022-06-21,1
be.wikipedia,Ацёк,2022-06-22,1
be.wikipedia,Ацёк,2022-06-23,0
be.wikipedia,Ацёк,2022-06-24,3
be.wikipedia,Ацёк,2022-06-25,1
be.wikipedia,Ацёк,2022-06-26,1
be.wikipedia,Ацёк,2022-06-27,2
be.wikipedia,Ацёк,2022-06-28,0
be.wikipedia,Ацёк,2022-06-29,0
be.wikipedia,Ацёк,2022-06-30,0
be.wikipedia,Ацёк,2022-07-01,0
be.wikipedia,Ацёк,2022-07-02,0
be.wikipedia,Ацёк,2022-07-03,1
be.wikipedia,Ацёк,2022-07-04,0
be.wikipedia,Ацёк,2022-07-07,2
be.wikipedia,Ацёк,2022-07-08,0
be.wikipedia,Ацёк,2022-07-09,1
be.wikipedia,Ацёк,2022-07-10,0
be.wikipedia,Ацёк,2022-07-11,0
be.wikipedia,Ацёк,2022-07-12,0
be.wikipedia,Ацёк,2022-07-13,3
be.wikipedia,Ацёк,2022-07-14,0
be.wikipedia,Ацёк,2022-07-15,0
be.wikipedia,Ацёк,2022-07-16,0
be.wikipedia,Ацёк,2022-07-17,1
be.wikipedia,Ацёк,2022-07-18,0
be.wikipedia,Ацёк,2022-07-19,0
be.wikipedia,Ацёк,2022-07-21,1
be.wikipedia,Ацёк,2022-07-23,0
be.wikipedia,Ацёк,2022-07-24,0
be.wikipedia,Ацёк,2022-07-27,0
be.wikipedia,Ацёк,2022-08-03,1
be.wikipedia,Ацёк,2022-08-04,0
be.wikipedia,Ацёк,2022-08-05,0
be.wikipedia,Ацёк,2022-08-06,1
be.wikipedia,Ацёк,2022-08-07,2
be.wikipedia,Ацёк,2022-08-08,0
be.wikipedia,Ацёк,2022-08-09,0
be.wikipedia,Ацёк,2022-08-10,0
be.wikipedia,Ацёк,2022-08-11,0
be.wikipedia,Ацёк,2022-08-13,0
be.wikipedia,Ацёк,2022-08-16,0
be.wikipedia,Ацёк,2022-08-17,0
be.wikipedia,Ацёк,2022-08-19,0
be.wikipedia,Ацёк,2022-08-20,0
be.wikipedia,Ацёк,2022-08-22,0
be.wikipedia,Ацёк,2022-08-23,1
be.wikipedia,Ацёк,2022-08-24,3
be.wikipedia,Ацёк,2022-08-25,0
be.wikipedia,Ацёк,2022-08-27,0
be.wikipedia,Ацёк,2022-08-28,1
be.wikipedia,Ацёк,2022-08-29,0
be.wikipedia,Ацёк,2022-08-30,1
be.wikipedia,Ацёк,2022-08-31,0
be.wikipedia,Ацёк,2022-09-01,0
be.wikipedia,Ацёк,2022-09-02,0
be.wikipedia,Ацёк,2022-09-03,2
be.wikipedia,Ацёк,2022-09-04,1
be.wikipedia,Ацёк,2022-09-05,3
be.wikipedia,Ацёк,2022-09-06,0
be.wikipedia,Ацёк,2022-09-08,1
be.wikipedia,Ацёк,2022-09-09,9
be.wikipedia,Ацёк,2022-09-11,0
be.wikipedia,Ацёк,2022-09-12,0
be.wikipedia,Ацёк,2022-09-13,3
be.wikipedia,Ацёк,2022-09-15,3
be.wikipedia,Ацёк,2022-09-16,2
be.wikipedia,Ацёк,2022-09-17,0
be.wikipedia,Ацёк,2022-09-19,0
be.wikipedia,Ацёк,2022-09-20,1
be.wikipedia,Ацёк,2022-09-22,0
be.wikipedia,Ацёк,2022-09-23,0
be.wikipedia,Ацёк,2022-09-24,1
be.wikipedia,Ацёк,2022-09-25,0
be.wikipedia,Ацёк,2022-09-26,0
be.wikipedia,Ацёк,2022-09-28,0
be.wikipedia,Ацёк,2022-09-30,1
be.wikipedia,Ацёк,2022-10-01,0
be.wikipedia,Ацёк,2022-10-02,0
be.wikipedia,Ацёк,2022-10-03,0
be.wikipedia,Ацёк,2022-10-04,0
be.wikipedia,Ацёк,2022-10-06,0
be.wikipedia,Ацёк,2022-10-07,0
be.wikipedia,Ацёк,2022-10-08,0
be.wikipedia,Ацёк,2022-10-10,0
be.wikipedia,Ацёк,2022-10-11,0
be.wikipedia,Ацёк,2022-10-12,0
be.wikipedia,Ацёк,2022-10-13,0
be.wikipedia,Ацёк,2022-10-14,0
be.wikipedia,Ацёк,2022-10-17,0
be.wikipedia,Ацёк,2022-10-19,1
be.wikipedia,Ацёк,2022-10-21,1
be.wikipedia,Ацёк,2022-10-22,0
be.wikipedia,Ацёк,2022-10-23,0
be.wikipedia,Ацёк,2022-10-24,0
be.wikipedia,Ацёк,2022-10-25,1
be.wikipedia,Ацёк,2022-10-26,1
be.wikipedia,Ацёк,2022-10-27,0
be.wikipedia,Ацёк,2022-10-28,0
be.wikipedia,Ацёк,2022-11-01,0
be.wikipedia,Ацёк,2022-11-02,0
be.wikipedia,Ацёк,2022-11-04,1
be.wikipedia,Ацёк,2022-11-05,0
be.wikipedia,Ацёк,2022-11-06,0
be.wikipedia,Ацёк,2022-11-07,0
be.wikipedia,Ацёк,2022-11-08,0
be.wikipedia,Ацёк,2022-11-09,0
be.wikipedia,Ацёк,2022-11-12,0
be.wikipedia,Ацёк,2022-11-13,0
be.wikipedia,Ацёк,2022-11-14,1
be.wikipedia,Ацёк,2022-11-15,0
be.wikipedia,Ацёк,2022-11-16,2
be.wikipedia,Ацёк,2022-11-17,0
be.wikipedia,Ацёк,2022-11-19,0
be.wikipedia,Ацёк,2022-11-20,1
be.wikipedia,Ацёк,2022-11-21,0
be.wikipedia,Ацёк,2022-11-22,1
be.wikipedia,Ацёк,2022-11-23,1
be.wikipedia,Ацёк,2022-11-24,1
be.wikipedia,Ацёк,2022-11-25,1
be.wikipedia,Ацёк,2022-11-28,0
be.wikipedia,Ацёк,2022-11-29,1
be.wikipedia,Ацёк,2022-12-01,0
be.wikipedia,Ацёк,2022-12-02,1
be.wikipedia,Ацёк,2022-12-03,0
be.wikipedia,Ацёк,2022-12-06,0
be.wikipedia,Ацёк,2022-12-07,0
be.wikipedia,Ацёк,2022-12-08,0
be.wikipedia,Ацёк,2022-12-09,0
be.wikipedia,Ацёк,2022-12-10,2
be.wikipedia,Ацёк,2022-12-11,0
be.wikipedia,Ацёк,2022-12-12,1
be.wikipedia,Ацёк,2022-12-14,0
be.wikipedia,Ацёк,2022-12-16,0
be.wikipedia,Ацёк,2022-12-17,0
be.wikipedia,Ацёк,2022-12-18,1
be.wikipedia,Ацёк,2022-12-19,1
be.wikipedia,Ацёк,2022-12-20,0
be.wikipedia,Ацёк,2022-12-21,0
be.wikipedia,Ацёк,2022-12-22,1
be.wikipedia,Ацёк,2022-12-23,0
be.wikipedia,Ацёк,2022-12-24,0
be.wikipedia,Ацёк,2022-12-28,0
be.wikipedia,Ацёк,2022-12-29,1
be.wikipedia,Ацёк,2022-12-30,1
be.wikipedia,Ліхаманка,2022-01-01,0
be.wikipedia,Ліхаманка,2022-01-02,1
be.wikipedia,Ліхаманка,2022-01-03,1
be.wikipedia,Ліхаманка,2022-01-04,1
be.wikipedia,Ліхаманка,2022-01-05,2
be.wikipedia,Ліхаманка,2022-01-06,2
be.wikipedia,Ліхаманка,2022-01-07,0
be.wikipedia,Ліхаманка,2022-01-08,0
be.wikipedia,Ліхаманка,2022-01-09,0
be.wikipedia,Ліхаманка,2022-01-10,1
be.wikipedia,Ліхаманка,2022-01-11,0
be.wikipedia,Ліхаманка,2022-01-12,0
be.wikipedia,Ліхаманка,2022-01-13,2
be.wikipedia,Ліхаманка,2022-01-14,1
be.wikipedia,Ліхаманка,2022-01-15,1
be.wikipedia,Ліхаманка,2022-01-16,8
be.wikipedia,Ліхаманка,2022-01-17,3
be.wikipedia,Ліхаманка,2022-01-18,0
be.wikipedia,Ліхаманка,2022-01-19,2
be.wikipedia,Ліхаманка,2022-01-20,0
be.wikipedia,Ліхаманка,2022-01-21,0
be.wikipedia,Ліхаманка,2022-01-22,0
be.wikipedia,Ліхаманка,2022-01-23,2
be.wikipedia,Ліхаманка,2022-01-24,0
be.wikipedia,Ліхаманка,2022-01-25,1
be.wikipedia,Ліхаманка,2022-01-26,0
be.wikipedia,Ліхаманка,2022-01-27,2
be.wikipedia,Ліхаманка,2022-01-28,0
be.wikipedia,Ліхаманка,2022-01-29,0
be.wikipedia,Ліхаманка,2022-01-30,3
be.wikipedia,Ліхаманка,2022-01-31,3
be.wikipedia,Ліхаманка,2022-02-01,2
be.wikipedia,Ліхаманка,2022-02-02,0
be.wikipedia,Ліхаманка,2022-02-04,0
be.wikipedia,Ліхаманка,2022-02-05,0
be.wikipedia,Ліхаманка,2022-02-06,0
be.wikipedia,Ліхаманка,2022-02-08,0
be.wikipedia,Ліхаманка,2022-02-09,1
be.wikipedia,Ліхаманка,2022-02-10,0
be.wikipedia,Ліхаманка,2022-02-12,0
be.wikipedia,Ліхаманка,2022-02-13,1
be.wikipedia,Ліхаманка,2022-02-15,0
be.wikipedia,Ліхаманка,2022-02-16,0
be.wikipedia,Ліхаманка,2022-02-17,0
be.wikipedia,Ліхаманка,2022-02-18,0
be.wikipedia,Ліхаманка,2022-02-19,0
be.wikipedia,Ліхаманка,2022-02-20,0
be.wikipedia,Ліхаманка,2022-02-21,2
be.wikipedia,Ліхаманка,2022-02-22,1
be.wikipedia,Ліхаманка,2022-02-23,0
be.wikipedia,Ліхаманка,2022-02-24,2
be.wikipedia,Ліхаманка,2022-02-25,0
be.wikipedia,Ліхаманка,2022-02-26,0
be.wikipedia,Ліхаманка,2022-02-27,0
be.wikipedia,Ліхаманка,2022-02-28,0
be.wikipedia,Ліхаманка,2022-03-01,0
be.wikipedia,Ліхаманка,2022-03-02,1
be.wikipedia,Ліхаманка,2022-03-03,0
be.wikipedia,Ліхаманка,2022-03-04,0
be.wikipedia,Ліхаманка,2022-03-05,1
be.wikipedia,Ліхаманка,2022-03-06,0
be.wikipedia,Ліхаманка,2022-03-07,0
be.wikipedia,Ліхаманка,2022-03-08,0
be.wikipedia,Ліхаманка,2022-03-09,1
be.wikipedia,Ліхаманка,2022-03-10,0
be.wikipedia,Ліхаманка,2022-03-11,0
be.wikipedia,Ліхаманка,2022-03-12,0
be.wikipedia,Ліхаманка,2022-03-13,1
be.wikipedia,Ліхаманка,2022-03-14,0
be.wikipedia,Ліхаманка,2022-03-15,0
be.wikipedia,Ліхаманка,2022-03-16,1
be.wikipedia,Ліхаманка,2022-03-17,1
be.wikipedia,Ліхаманка,2022-03-18,1
be.wikipedia,Ліхаманка,2022-03-19,1
be.wikipedia,Ліхаманка,2022-03-20,1
be.wikipedia,Ліхаманка,2022-03-21,2
be.wikipedia,Ліхаманка,2022-03-22,0
be.wikipedia,Ліхаманка,2022-03-23,0
be.wikipedia,Ліхаманка,2022-03-24,0
be.wikipedia,Ліхаманка,2022-03-25,1
be.wikipedia,Ліхаманка,2022-03-26,0
be.wikipedia,Ліхаманка,2022-03-27,3
be.wikipedia,Ліхаманка,2022-03-28,0
be.wikipedia,Ліхаманка,2022-03-29,0
be.wikipedia,Ліхаманка,2022-03-30,0
be.wikipedia,Ліхаманка,2022-03-31,2
be.wikipedia,Ліхаманка,2022-04-01,0
be.wikipedia,Ліхаманка,2022-04-02,0
be.wikipedia,Ліхаманка,2022-04-03,0
be.wikipedia,Ліхаманка,2022-04-04,0
be.wikipedia,Ліхаманка,2022-04-05,0
be.wikipedia,Ліхаманка,2022-04-06,0
be.wikipedia,Ліхаманка,2022-04-07,0
be.wikipedia,Ліхаманка,2022-04-08,0
be.wikipedia,Ліхаманка,2022-04-09,0
be.wikipedia,Ліхаманка,2022-04-10,0
be.wikipedia,Ліхаманка,2022-04-11,0
be.wikipedia,Ліхаманка,2022-04-12,0
be.wikipedia,Ліхаманка,2022-04-13,0
be.wikipedia,Ліхаманка,2022-04-14,1
be.wikipedia,Ліхаманка,2022-04-15,0
be.wikipedia,Ліхаманка,2022-04-16,0
be.wikipedia,Ліхаманка,2022-04-17,0
be.wikipedia,Ліхаманка,2022-04-18,0
be.wikipedia,Ліхаманка,2022-04-19,0
be.wikipedia,Ліхаманка,2022-04-20,0
be.wikipedia,Ліхаманка,2022-04-21,0
be.wikipedia,Ліхаманка,2022-04-22,0
be.wikipedia,Ліхаманка,2022-04-23,1
be.wikipedia,Ліхаманка,2022-04-24,2
be.wikipedia,Ліхаманка,2022-04-25,1
be.wikipedia,Ліхаманка,2022-04-26,1
be.wikipedia,Ліхаманка,2022-04-27,1
be.wikipedia,Ліхаманка,2022-04-28,1
be.wikipedia,Ліхаманка,2022-04-29,0
be.wikipedia,Ліхаманка,2022-04-30,0
be.wikipedia,Ліхаманка,2022-05-01,0
be.wikipedia,Ліхаманка,2022-05-02,0
be.wikipedia,Ліхаманка,2022-05-03,0
be.wikipedia,Ліхаманка,2022-05-04,0
be.wikipedia,Ліхаманка,2022-05-06,1
be.wikipedia,Ліхаманка,2022-05-07,0
be.wikipedia,Ліхаманка,2022-05-08,0
be.wikipedia,Ліхаманка,2022-05-09,0
be.wikipedia,Ліхаманка,2022-05-10,1
be.wikipedia,Ліхаманка,2022-05-11,2
be.wikipedia,Ліхаманка,2022-05-12,2
be.wikipedia,Ліхаманка,2022-05-13,0
